timestamp,electric_kw_per_home,electric_kwh_per_home,season,time_of_day
2018-09-21 09:15:00,0.7126886655697873,0.17817216639244682,Fall,09:15
2018-09-21 09:30:00,0.7112676585088505,0.17781691462721264,Fall,09:30
2018-09-21 09:45:00,0.7217444263534367,0.18043610658835918,Fall,09:45
2018-09-21 10:00:00,0.7293357445841551,0.18233393614603877,Fall,10:00
2018-09-21 10:15:00,0.7382889287352844,0.1845722321838211,Fall,10:15
2018-09-21 10:30:00,0.7530662851373914,0.18826657128434784,Fall,10:30
2018-09-21 10:45:00,0.7650985740791666,0.19127464351979165,Fall,10:45
2018-09-21 11:00:00,0.7742737430771361,0.19356843576928404,Fall,11:00
2018-09-21 11:15:00,0.7930493475263657,0.19826233688159142,Fall,11:15
2018-09-21 11:30:00,0.8018096428615663,0.20045241071539158,Fall,11:30
2018-09-21 11:45:00,0.809640562944442,0.2024101407361105,Fall,11:45
2018-09-21 12:00:00,0.822408839847611,0.20560220996190276,Fall,12:00
2018-09-21 12:15:00,0.8095347777659281,0.20238369444148202,Fall,12:15
2018-09-21 12:30:00,0.8136106231087457,0.20340265577718641,Fall,12:30
2018-09-21 12:45:00,0.8202709490139489,0.20506773725348723,Fall,12:45
2018-09-21 13:00:00,0.82400359683732,0.20600089920933,Fall,13:00
2018-09-21 13:15:00,0.8168437257124483,0.20421093142811209,Fall,13:15
2018-09-21 13:30:00,0.8248188458841009,0.20620471147102523,Fall,13:30
2018-09-21 13:45:00,0.8283511742946903,0.20708779357367257,Fall,13:45
2018-09-21 14:00:00,0.8326034025897805,0.20815085064744512,Fall,14:00
2018-09-21 14:15:00,0.8475066379119475,0.21187665947798687,Fall,14:15
2018-09-21 14:30:00,0.8498466990398696,0.2124616747599674,Fall,14:30
2018-09-21 14:45:00,0.8541057621729609,0.21352644054324021,Fall,14:45
2018-09-21 15:00:00,0.8586205067713397,0.21465512669283493,Fall,15:00
2018-09-21 15:15:00,0.8913374519096179,0.22283436297740447,Fall,15:15
2018-09-21 15:30:00,0.8866140137362423,0.22165350343406057,Fall,15:30
2018-09-21 15:45:00,0.8832224278112945,0.2208056069528236,Fall,15:45
2018-09-21 16:00:00,0.9003269659503215,0.22508174148758037,Fall,16:00
2018-09-21 16:15:00,0.9395575399283623,0.23488938498209058,Fall,16:15
2018-09-21 16:30:00,0.9482503523432304,0.2370625880858076,Fall,16:30
2018-09-21 16:45:00,0.9472233189754422,0.23680582974386055,Fall,16:45
2018-09-21 17:00:00,0.9522386443961681,0.23805966109904203,Fall,17:00
2018-09-21 17:15:00,0.9762599934172967,0.2440649983543242,Fall,17:15
2018-09-21 17:30:00,0.975566107453433,0.24389152686335824,Fall,17:30
2018-09-21 17:45:00,0.9571458283818702,0.23928645709546756,Fall,17:45
2018-09-21 18:00:00,0.9422259394535112,0.2355564848633778,Fall,18:00
2018-09-21 18:15:00,0.9818883877249018,0.24547209693122546,Fall,18:15
2018-09-21 18:30:00,0.9787759648618136,0.2446939912154534,Fall,18:30
2018-09-21 18:45:00,0.977416957892884,0.244354239473221,Fall,18:45
2018-09-21 19:00:00,0.9758386520147536,0.2439596630036884,Fall,19:00
2018-09-21 19:15:00,1.0149548135072377,0.2537387033768094,Fall,19:15
2018-09-21 19:30:00,1.0075640472971004,0.2518910118242751,Fall,19:30
2018-09-21 19:45:00,1.0036634497897585,0.25091586244743963,Fall,19:45
2018-09-21 20:00:00,0.9991144075269692,0.2497786018817423,Fall,20:00
2018-09-21 20:15:00,0.9767231067849821,0.24418077669624552,Fall,20:15
2018-09-21 20:30:00,0.9627392652151701,0.24068481630379251,Fall,20:30
2018-09-21 20:45:00,0.9517318151849626,0.23793295379624066,Fall,20:45
2018-09-21 21:00:00,0.9490795400412595,0.23726988501031487,Fall,21:00
2018-09-21 21:15:00,0.7981042764533121,0.19952606911332801,Fall,21:15
2018-09-21 21:30:00,0.7776150445560525,0.19440376113901311,Fall,21:30
2018-09-21 21:45:00,0.7483905086469519,0.18709762716173797,Fall,21:45
2018-09-21 22:00:00,0.7260108167577259,0.18150270418943149,Fall,22:00
2018-09-21 22:15:00,0.6288484017388305,0.15721210043470762,Fall,22:15
2018-09-21 22:30:00,0.5996845188366078,0.14992112970915195,Fall,22:30
2018-09-21 22:45:00,0.5783406940742929,0.14458517351857322,Fall,22:45
2018-09-21 23:00:00,0.5674805724057659,0.14187014310144147,Fall,23:00
2018-09-21 23:15:00,0.5313805321205144,0.1328451330301286,Fall,23:15
2018-09-21 23:30:00,0.5200635662577342,0.13001589156443355,Fall,23:30
2018-09-21 23:45:00,0.5158132695763132,0.1289533173940783,Fall,23:45
2018-09-22 00:00:00,0.5073532715570892,0.1268383178892723,Fall,00:00
2018-09-22 00:15:00,0.49995805051318726,0.12498951262829681,Fall,00:15
2018-09-22 00:30:00,0.49269430223196703,0.12317357555799176,Fall,00:30
2018-09-22 00:45:00,0.49084880578696877,0.12271220144674219,Fall,00:45
2018-09-22 01:00:00,0.48991706493672943,0.12247926623418236,Fall,01:00
2018-09-22 01:15:00,0.4866970007548442,0.12167425018871104,Fall,01:15
2018-09-22 01:30:00,0.4779895092112485,0.11949737730281212,Fall,01:30
2018-09-22 01:45:00,0.4771844176036574,0.11929610440091434,Fall,01:45
2018-09-22 02:00:00,0.472716657467568,0.118179164366892,Fall,02:00
2018-09-22 02:15:00,0.4726231575167289,0.11815578937918222,Fall,02:15
2018-09-22 02:30:00,0.4678355293733616,0.1169588823433404,Fall,02:30
2018-09-22 02:45:00,0.4699799399743803,0.11749498499359508,Fall,02:45
2018-09-22 03:00:00,0.4693293438882219,0.11733233597205547,Fall,03:00
2018-09-22 03:15:00,0.472752777194495,0.11818819429862375,Fall,03:15
2018-09-22 03:30:00,0.47075100884975823,0.11768775221243956,Fall,03:30
2018-09-22 03:45:00,0.4716006859521255,0.11790017148803138,Fall,03:45
2018-09-22 04:00:00,0.46975048457186974,0.11743762114296744,Fall,04:00
2018-09-22 04:15:00,0.4816750827410899,0.12041877068527247,Fall,04:15
2018-09-22 04:30:00,0.4871950880087016,0.1217987720021754,Fall,04:30
2018-09-22 04:45:00,0.4949870724427663,0.12374676811069157,Fall,04:45
2018-09-22 05:00:00,0.5042785706568045,0.12606964266420112,Fall,05:00
2018-09-22 05:15:00,0.5418647738713419,0.13546619346783548,Fall,05:15
2018-09-22 05:30:00,0.5538830066457514,0.13847075166143785,Fall,05:30
2018-09-22 05:45:00,0.5720382329606046,0.14300955824015116,Fall,05:45
2018-09-22 06:00:00,0.5940027590054345,0.14850068975135863,Fall,06:00
2018-09-22 06:15:00,0.6544444326780543,0.16361110816951357,Fall,06:15
2018-09-22 06:30:00,0.6834291293209436,0.1708572823302359,Fall,06:30
2018-09-22 06:45:00,0.7195912108320904,0.1798978027080226,Fall,06:45
2018-09-22 07:00:00,0.7355898004382417,0.18389745010956043,Fall,07:00
2018-09-22 07:15:00,0.8139212281008672,0.2034803070252168,Fall,07:15
2018-09-22 07:30:00,0.8373407075828762,0.20933517689571904,Fall,07:30
2018-09-22 07:45:00,0.8638535256610864,0.2159633814152716,Fall,07:45
2018-09-22 08:00:00,0.8804671588551226,0.22011678971378065,Fall,08:00
2018-09-22 08:15:00,0.9266884064416331,0.23167210161040827,Fall,08:15
2018-09-22 08:30:00,0.939040368767124,0.234760092191781,Fall,08:30
2018-09-22 08:45:00,0.9476316000934194,0.23690790002335485,Fall,08:45
2018-09-22 09:00:00,0.9585038585154083,0.23962596462885208,Fall,09:00
2018-09-22 09:15:00,0.9774321214784136,0.2443580303696034,Fall,09:15
2018-09-22 09:30:00,0.9810160044422988,0.2452540011105747,Fall,09:30
2018-09-22 09:45:00,0.9856698609079431,0.24641746522698577,Fall,09:45
2018-09-22 10:00:00,0.9924749351055173,0.24811873377637933,Fall,10:00
2018-09-22 10:15:00,1.0053129984431202,0.25132824961078004,Fall,10:15
2018-09-22 10:30:00,1.0274700500158735,0.2568675125039684,Fall,10:30
2018-09-22 10:45:00,1.0256861145696794,0.25642152864241985,Fall,10:45
2018-09-22 11:00:00,1.0340054557974134,0.25850136394935336,Fall,11:00
2018-09-22 11:15:00,1.0521156871466992,0.2630289217866748,Fall,11:15
2018-09-22 11:30:00,1.0737295960418336,0.2684323990104584,Fall,11:30
2018-09-22 11:45:00,1.0882218523323566,0.27205546308308914,Fall,11:45
2018-09-22 12:00:00,1.0934818847887648,0.2733704711971912,Fall,12:00
2018-09-22 12:15:00,1.0839243805828214,0.27098109514570534,Fall,12:15
2018-09-22 12:30:00,1.0883998949221982,0.27209997373054956,Fall,12:30
2018-09-22 12:45:00,1.0865912102671156,0.2716478025667789,Fall,12:45
2018-09-22 13:00:00,1.0939904437707235,0.2734976109426809,Fall,13:00
2018-09-22 13:15:00,1.0914390074031124,0.2728597518507781,Fall,13:15
2018-09-22 13:30:00,1.097232387513122,0.2743080968782805,Fall,13:30
2018-09-22 13:45:00,1.108221736132814,0.2770554340332035,Fall,13:45
2018-09-22 14:00:00,1.1102959015916445,0.2775739753979111,Fall,14:00
2018-09-22 14:15:00,1.1148701409324353,0.2787175352331088,Fall,14:15
2018-09-22 14:30:00,1.1179951336715435,0.27949878341788587,Fall,14:30
2018-09-22 14:45:00,1.1063458892897458,0.27658647232243644,Fall,14:45
2018-09-22 15:00:00,1.107483174675612,0.276870793668903,Fall,15:00
2018-09-22 15:15:00,1.1416943176954937,0.2854235794238734,Fall,15:15
2018-09-22 15:30:00,1.1409243468435684,0.2852310867108921,Fall,15:30
2018-09-22 15:45:00,1.1318232608631398,0.28295581521578494,Fall,15:45
2018-09-22 16:00:00,1.1326356638501884,0.2831589159625471,Fall,16:00
2018-09-22 16:15:00,1.1670487763089052,0.2917621940772263,Fall,16:15
2018-09-22 16:30:00,1.1488103202159026,0.28720258005397564,Fall,16:30
2018-09-22 16:45:00,1.1277064324113086,0.28192660810282716,Fall,16:45
2018-09-22 17:00:00,1.097797087733483,0.27444927193337076,Fall,17:00
2018-09-22 17:15:00,1.1021290835562727,0.2755322708890682,Fall,17:15
2018-09-22 17:30:00,1.074671085280183,0.26866777132004577,Fall,17:30
2018-09-22 17:45:00,1.0439015290002498,0.26097538225006245,Fall,17:45
2018-09-22 18:00:00,1.020830773264412,0.255207693316103,Fall,18:00
2018-09-22 18:15:00,1.0416011978029907,0.26040029945074766,Fall,18:15
